Admission No,Student Name,Mobile No,Course,Subject,Admission Date,Father Name,Mother Name,Father Occupation,DOB,Gender,Category,Subcast,Permanent Address,Present Address,District,State,Domicile,Email,Aadhaar No,Subject 4,Subject 5,Subject 6,Last Exam,Last Exam Year,Last Subject,Last Roll No,Last Enroll No,Board,Total Marks,Obtain Marks,Division,Percentage,Remark
980/55125,JATIN KIBE,8646331403,M.A. (Previous),ARTS,14-01-2026,MAANAV BEHL,MEGHA CHERIAN,ENGINEER,15-03-2008,Male,GEN,,"23/62, NORI NAGAR, SASARAM-437463","15/427, CHANDRAN CIRCLE, SHIMLA 674712",JANJGIR-CHAMPA,C.G.,NO,jasongokhale@example.net,364493870821,,,,GRADUATION,2021,ARTS,33213379,744970813,CBSE,500,377,FIRST,75.4,
228/81779,ALKA DHAWAN,8216321484,B.Sc. Computer Science,COMPUTER,26-02-2026,EKALINGA JAGGI,UCCHAL SARMA,ARTIST,05-04-2003,Female,ST,,"19, CHEEMA PATH, JUNAGADH-397083","64/78, SANGHVI CHOWK, SAHARSA-283727",MAHASAMUND,C.G.,NO,devika81@example.org,269731268344,,,,12TH,2020,SCIENCE,71212274,074382658,HEMCHAND YADAV UNIVERSITY,500,442,FIRST,88.4,
816/79373,TANVI KRISH,4222393149,M.Sc. (Chemistry - Final),CHEMISTRY,20-01-2026,JACKSON GOUR,ISHANI MUTTI,ARTIST,22-10-2008,Female,OBC,,"H.NO. 94, TATA STREET, BIJAPUR 466729","873, AGATE STREET, BULANDSHAHR 429040",SUKMA,C.G.,YES,dwali@example.com,562969557730,,,,GRADUATION,2024,SCIENCE,91198407,368534064,CBSE,500,472,FIRST,94.4,
908/16802,NACHIKET SRINIVASAN,5322927803,M.Sc. (Botany - Previous),BOTANY,21-02-2026,AMOL BHARGAVA,YASHODHARA CHAR,DOCTOR,15-02-2001,Male,GEN,,"28/448, DHAR ROAD, MEDININAGAR 706474","115, SETHI PATH, JORHAT 801310",RAIGARH,C.G.,YES,manicharan@example.org,026363007324,,,,GRADUATION,2022,SCIENCE,14954794,255056630,STATE BOARD,500,341,FIRST,68.2,
204/34076,AMARA DUGAR,0552960537,M.Sc. (Botany - Previous),BOTANY,01-02-2026,BALJIWAN DASS,IJAYA MAJUMDAR,GOVT EMPLOYEE,01-06-2004,Female,OBC,,"42/00, SULE STREET, MEERUT 156832","H.NO. 82, MOHAN CIRCLE, BOKARO 329726",KONDAGAON,C.G.,YES,vanyajha@example.net,515776691329,,,,GRADUATION,2020,SCIENCE,77439650,613459565,CBSE,500,353,FIRST,70.6,
120/70404,KALA DEEP,3208127293,B.Sc. (Biology),BIOLOGY,19-03-2026,EKAPAD MANDER,KASHVI PARMAR,MECHANIC,24-08-2006,Female,OBC,,"52/797, COMAR STREET, GAYA-963042","H.NO. 951, SAGAR CIRCLE, SURENDRANAGAR DUDHREJ-441469",NARAYANPUR,C.G.,YES,rsrinivas@example.org,966974173394,,,,12TH,2024,SCIENCE,80841466,504515427,HEMCHAND YADAV UNIVERSITY,500,318,FIRST,63.6,
852/59932,KAI NAGAR,6668912795,M.Sc. (Mathematics - Final),MATHEMATICS,17-01-2026,SIMON VERMA,DEVIKA TAILOR,NURSE,28-02-2008,Male,GEN,,"72, DASGUPTA PATH, UJJAIN-560270","H.NO. 132, RAI PATH, BHOPAL 272411",BEMETARA,C.G.,NO,ahujadaksha@example.com,685140840369,,,,GRADUATION,2022,SCIENCE,77240463,318655687,CBSE,500,477,FIRST,95.4,
838/99106,JEET MURTY,6167056915,B.Sc. (Biology),BIOLOGY,25-02-2026,YATAN DESHMUKH,YASHAWINI MUKHERJEE,GOVT EMPLOYEE,01-01-2003,Male,SC,,"H.NO. 95, RAMAKRISHNAN ZILA, KOLKATA 382015","00/996, DUTTA STREET, CUTTACK 173858",KONDAGAON,C.G.,YES,pradhanatharv@example.com,242017046300,,,,12TH,2025,SCIENCE,85296331,793583704,STATE BOARD,500,440,FIRST,88.0,
935/65725,POOJA SHANKER,7730591757,BAJMC (Bachelor of Arts in Journalism & Mass Communication),COMMERCE,13-03-2026,QASIM DHAR,IKSHITA DUGAR,CARPENTER,04-10-2005,Female,ST,,"61/261, KHARE, GIRIDIH-235357","H.NO. 50, MADAN ROAD, BARASAT 145244",KOREA,C.G.,NO,wsandal@example.net,402576843664,,,,12TH,2020,ARTS,52198375,518888332,CBSE,500,437,FIRST,87.4,
907/44257,ARYA BAVA,8396066973,M.Sc. (Physics - Previous),PHYSICS,13-02-2026,ANIRUDH KALA,ALKA LOYAL,PLUMBER,18-02-2008,Female,SC,,"24/49, MUKHERJEE ROAD, SINGRAULI 502260","H.NO. 661, RAJA NAGAR, SIRSA 326183",BALOD,C.G.,NO,bordevinaya@example.org,558566582838,,,,GRADUATION,2022,SCIENCE,68918530,553366597,CBSE,500,451,FIRST,90.2,
273/19015,DIVYA NAYAR,5321172899,M.Sc. (Zoology - Previous),ZOOLOGY,04-03-2026,NAKSH GANESH,NIHARIKA KALITA,SELF EMPLOYED,19-07-2005,Female,ST,,"48/639, MISRA ZILA, BHOPAL-988154","37, PRABHU GANJ, BETTIAH-124267",GARIABAND,C.G.,NO,daniel91@example.com,897455544103,,,,GRADUATION,2022,SCIENCE,85658149,453584595,STATE BOARD,500,376,FIRST,75.2,
980/10800,NOAH PILLAI,1563047487,M.A. (Previous),ARTS,10-02-2026,WRIDDHISH SURA,MEERA PATIL,PLUMBER,10-01-2004,Male,ST,,"47/13, CHANDRAN STREET, GOPALPUR-224075","H.NO. 122, SHANKAR CHOWK, MYSORE 787284",JASHPUR,C.G.,NO,pushti53@example.net,682857714603,,,,GRADUATION,2020,ARTS,59341556,534454198,STATE BOARD,500,219,THIRD,43.8,
171/31478,MITALI BALAN,8142645489,BCA (Bachelor of Computer Applications),COMPUTER,18-02-2026,NOAH DUGAR,EKANI GODA,ENGINEER,24-08-2005,Female,GEN,,"H.NO. 65, BUCH CHOWK, RAMPUR 156059","16, BARMAN ROAD, DEHRADUN-003737",BIJAPUR,C.G.,YES,nigamtristan@example.net,293618151671,,,,12TH,2023,ARTS,71885617,543646179,HEMCHAND YADAV UNIVERSITY,500,242,SECOND,48.4,
483/26903,RUDRA BASSI,0765010253,M.Sc. (Physics - Previous),PHYSICS,10-02-2026,SAKSHAM SHROFF,HEMA NAGAR,SHOPKEEPER,14-07-2003,Male,GEN,,"63, VISWANATHAN PATH, VIJAYANAGARAM 280137","H.NO. 382, GERA, BULANDSHAHR 034232",RAJNANDGAON,C.G.,NO,qpuri@example.com,628041147604,,,,GRADUATION,2023,SCIENCE,90884404,049104979,STATE BOARD,500,407,FIRST,81.4,
316/65346,POOJA KAR,7599112658,BAJMC (Bachelor of Arts in Journalism & Mass Communication),COMMERCE,06-03-2026,MOHAMMED GHOSH,NITARA MUKHOPADHYAY,DRIVER,29-12-2007,Female,GEN,,"524, BUTALA CHOWK, BELLARY-956357","H.NO. 943, SAINI PATH, BANGALORE 939023",SURGUJA,C.G.,YES,tatatanmayi@example.org,223847697410,,,,12TH,2023,ARTS,99589498,206201511,CBSE,500,418,FIRST,83.6,
719/10116,GAGAN CHAUDHARY,7267489218,M.Com. (Previous),COMMERCE,19-03-2026,WYATT THAKKAR,CHANDANI HORA,PRIVATE JOB,09-09-2004,Male,SC,,"H.NO. 14, SESHADRI MARG, JAMSHEDPUR-624572","61/75, NAGARAJAN NAGAR, KHARAGPUR-881497",BASTAR,C.G.,NO,owen51@example.com,455614853322,,,,GRADUATION,2025,COMMERCE,76437840,690442731,CBSE,500,438,FIRST,87.6,
828/36089,CALEB PALLA,7317446228,B.Sc. (Mathematics),MATHEMATICS,18-03-2026,AADI MITTAL,DEVIKA SHUKLA,BUSINESS,22-12-2006,Male,ST,,"H.NO. 903, JAGGI CIRCLE, JALGAON 002173","71, BHAT GANJ, NOIDA-869263",RAJNANDGAON,C.G.,YES,qushi08@example.org,874355942988,,,,12TH,2022,SCIENCE,50586610,513234755,HEMCHAND YADAV UNIVERSITY,500,469,FIRST,93.8,
